Fuld adresse,Materieltype,Antal,Tømningsdato
Budolfi Plads 15, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Budolfi Plads 15, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Jernbanegade 11, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Jernbanegade 11, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Kirkegårdsgade 10, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Kirkegårdsgade 10, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sankelmarksgade 3, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sankelmarksgade 15, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Skipper Clements Gade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Skipper Clements Gade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Borgmestervænget 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Toldbodgade 29, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Toldbodgade 29, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Istedgade 3, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Istedgade 3, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Vesterå 28 G, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Vesterå 28 G, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Dybbølgade 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Dybbølgade 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Helgolandsgade 23, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Korsgade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Korsgade 8, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Kattesundet 29, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Nytorv 18, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Nytorv 18, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Slotsgade 29, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stormgade 12, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Henning Smiths Vej 10, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Finlandsgade 1 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Steen Billes Gade 22, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
